id;time;x1;x2;y;alpha_i;phi_i;dy;dx1;dx2;ly
3;20;0;-1;0;0;0;1;1;0;-2
3;21;1;-1;1;0;0;1;1;0;0
3;22;1;0;1;0;0;0;-1;0;1
3;23;1;0;2;0;0;2;0;1;1
3;24;1;1;4;0;0;2;0;0;2
3;25;0;1;3;0;0;-1;-1;1;4
3;26;-1;1;1;0;0;-2;-1;0;3
3;27;-1;2;0;0;0;-1;0;0;1
3;28;-1;1;-1;0;0;-1;-1;0;0
3;29;-2;1;-1;0;0;0;0;0;-1
3;30;-1;1;-2;0;0;-1;0;0;-1
3;31;-1;1;0;0;0;3;1;0;-2
3;32;0;2;2;0;0;2;0;1;0
3;33;-1;1;0;0;0;-2;-1;0;2
3;34;-1;1;0;0;0;0;0;0;0
3;35;0;1;0;0;0;0;0;0;0
3;36;0;2;2;0;0;2;0;1;0
3;37;0;2;3;0;0;1;0;0;2
3;38;-1;1;0;0;0;-4;-1;-1;3
3;39;0;1;3;0;0;3;1;0;0
3;40;0;2;2;0;0;0;0;1;3
3;41;-1;1;1;0;0;-2;0;0;2
3;42;-1;2;2;0;0;1;-1;1;1
3;43;-1;3;3;0;0;2;0;1;2
3;44;-1;3;2;0;0;-2;0;0;3
3;45;-1;3;2;0;0;1;1;0;2
3;46;-1;3;3;0;0;1;0;0;2
3;47;-1;2;1;0;0;-2;0;-1;3
3;48;-1;2;1;0;0;0;0;0;1
3;49;0;2;5;0;0;4;1;0;1
3;50;0;3;6;0;0;1;0;1;5
4;1;0;2;1;1;0;;;;
4;2;0;1;3;1;0;1;0;0;1
4;3;-1;2;2;1;0;0;0;1;3
4;4;0;2;5;1;0;3;1;0;2
4;5;0;1;6;1;0;1;0;0;5
4;6;1;1;8;1;0;2;1;-1;6
4;7;1;1;4;1;0;-4;0;0;8
4;8;0;1;3;1;0;-1;-1;0;4
4;9;0;2;5;1;0;2;1;1;3
4;10;0;2;3;1;0;-1;0;0;5
4;11;-1;2;1;1;0;-2;-1;0;3
4;12;-1;2;1;1;0;0;0;0;1
4;13;-1;2;2;1;0;1;0;0;1
4;14;0;2;5;1;0;3;0;0;2
4;15;0;1;3;1;0;-2;0;0;5
4;16;0;2;5;1;0;2;0;1;3
4;17;0;3;6;1;0;1;0;1;5
4;18;-1;3;3;1;0;-3;-1;0;6
4;19;-2;2;3;1;0;0;0;-1;3
4;20;-2;2;2;1;0;0;0;0;3
4;21;-1;2;3;1;0;0;1;0;2
4;22;0;2;2;1;0;-1;0;0;3
4;23;-2;1;-2;1;0;-3;-1;-1;2
4;24;-2;1;-2;1;0;0;0;0;-2
4;25;-2;1;-2;1;0;0;0;0;-2
4;26;-2;0;-5;1;0;-3;0;-1;-2
4;27;-1;0;-2;1;0;3;0;0;-5
4;28;-1;-1;-2;1;0;-1;0;-1;-2
4;29;-1;-1;-4;1;0;-2;0;-1;-2
4;30;0;0;-1;1;0;3;1;1;-4
4;31;0;-1;-2;1;0;-1;0;-1;-1
4;32;-1;0;-2;1;0;0;0;1;-2
4;33;0;-1;-3;1;0;-1;1;-1;-2
4;34;0;-1;1;1;0;3;0;0;-3
4;35;0;-1;-1;1;0;-1;0;0;1
4;36;1;-1;2;1;0;2;1;0;-1
4;37;0;0;2;1;0;0;-1;0;2
4;38;0;0;0;1;0;-1;0;1;2
4;39;-1;1;-1;1;0;-1;-1;1;0
4;40;0;2;-1;1;0;-1;0;0;-1
4;41;0;2;2;1;0;3;0;0;-1
4;42;-1;2;0;1;0;-2;-1;0;2
4;43;-1;3;1;1;0;2;0;1;0
4;44;-2;3;1;1;0;0;-1;0;1
4;45;-2;4;1;1;0;1;0;1;1
4;46;-2;3;3;1;0;1;0;-1;1
4;47;-1;4;3;1;0;1;1;0;3
4;48;0;3;5;1;0;1;1;0;3
4;49;0;4;8;1;0;3;1;1;5
4;50;0;3;5;1;0;-2;-1;-1;8
5;1;0;1;0;0;0;;;;
5;2;0;0;-2;0;0;-2;0;0;0
5;3;-2;1;-4;0;0;-2;-2;0;-2
5;4;-1;0;-1;0;0;3;1;0;-4
5;5;-1;0;-2;0;0;-1;0;0;-1
5;6;-2;0;-5;0;0;-3;-1;0;-2
5;7;-2;1;-3;0;0;2;0;1;-5
5;8;-1;1;-1;0;0;2;1;0;-3
5;9;-1;1;-1;0;0;0;0;0;-1
5;10;-2;2;0;0;0;2;-1;1;-1
5;11;-1;2;1;0;0;1;1;0;0
5;12;-1;2;0;0;0;-1;0;0;1
5;13;-1;3;4;0;0;3;1;1;0
5;14;0;4;6;0;0;3;0;1;4
5;15;0;4;7;0;0;1;0;0;6
5;16;0;4;9;0;0;2;0;1;7
5;17;0;4;7;0;0;-2;0;0;9
5;18;0;4;8;0;0;1;0;0;7
5;19;0;4;8;0;0;0;0;0;8
5;20;1;3;8;0;0;1;0;-1;8
5;21;0;2;5;0;0;-3;-1;-1;8
5;22;0;3;4;0;0;-2;-1;0;5
5;23;-1;3;3;0;0;-1;0;0;4
5;24;-1;2;0;0;0;-3;-1;0;3
5;25;-1;2;0;0;0;0;0;0;0
5;26;-2;2;-1;0;0;-2;-1;0;0
5;27;-2;3;0;0;0;1;0;1;-1
5;28;-2;3;0;0;0;0;0;0;0
5;29;-2;3;1;0;0;1;0;0;0
5;30;-2;3;2;0;0;1;0;0;1
5;31;-2;4;2;0;0;1;0;0;2
5;32;-3;3;0;0;0;-3;-1;0;2
5;33;-3;4;-1;0;0;-1;-1;1;0
5;34;-3;4;2;0;0;3;0;0;-1
5;35;-3;4;1;0;0;-1;0;0;2
5;36;-2;4;1;0;0;0;0;-1;1
5;37;-3;4;1;0;0;0;-1;0;1
5;38;-3;4;2;0;0;1;0;0;1
5;39;-3;5;0;0;0;-2;0;0;2
5;40;-3;5;-1;0;0;-1;0;0;0
5;41;-3;5;-1;0;0;0;1;0;-1
5;42;-3;4;0;0;0;1;0;0;-1
5;43;-1;4;1;0;0;2;1;0;0
5;44;0;4;5;0;0;4;1;0;1
5;45;-1;4;1;0;0;-5;-1;1;5
5;46;-1;5;4;0;0;4;0;1;1
5;47;-1;5;6;0;0;2;1;0;4
5;48;-1;5;7;0;0;0;0;0;6
5;49;-1;5;7;0;0;0;0;0;7
5;50;0;5;9;0;0;2;1;1;7
6;1;0;1;1;0;0;;;;
6;2;-2;2;-2;0;0;-3;-1;1;1
6;3;-3;1;-5;0;0;-3;-1;-1;-2
6;4;-3;0;-8;0;0;-2;0;-1;-5
6;5;-4;0;-8;0;0;-1;-1;0;-8
6;6;-3;0;-7;0;0;2;0;0;-8
6;7;-4;0;-9;0;0;-2;-1;0;-7
6;8;-4;2;-8;0;0;1;0;1;-9
6;9;-4;2;-6;0;0;2;0;1;-8
6;10;-3;0;-9;0;0;-4;0;-2;-6
6;11;-3;0;-7;0;0;2;0;0;-9
6;12;-3;-1;-9;0;0;-2;0;-1;-7
6;13;-2;-1;-7;0;0;2;1;0;-9
6;14;-3;0;-10;0;0;-2;-1;0;-7
6;15;-3;0;-7;0;0;3;0;0;-10
6;16;-4;1;-7;0;0;0;-1;0;-7
6;17;-4;0;-9;0;0;-1;0;0;-7
6;18;-3;1;-7;0;0;2;0;1;-9
6;19;-3;2;-4;0;0;3;0;1;-7
6;20;-3;2;-5;0;0;0;0;0;-4
6;21;-4;2;-6;0;0;-1;-1;0;-5
6;22;-4;2;-7;0;0;-1;-1;0;-6
6;23;-4;2;-5;0;0;2;1;0;-7
6;24;-4;2;-3;0;0;2;0;0;-5
6;25;-4;2;-5;0;0;-2;0;-1;-3
6;26;-2;2;0;0;0;5;2;0;-5
6;27;-2;2;-1;0;0;-1;0;0;0
6;28;-2;2;-2;0;0;-1;0;0;-1
6;29;-3;3;-1;0;0;1;-1;1;-2
6;30;-3;3;-4;0;0;-3;0;0;-1
6;31;-3;3;-2;0;0;2;0;0;-4
6;32;-3;4;-3;0;0;-1;-1;1;-2
6;33;-4;5;-1;0;0;2;0;1;-3
6;34;-4;5;-2;0;0;0;0;0;-1
6;35;-4;5;-1;0;0;0;0;0;-2
6;36;-4;5;-1;0;0;0;0;0;-1
6;37;-4;5;0;0;0;2;0;0;-1
6;38;-4;5;1;0;0;0;0;0;0
6;39;-3;5;3;0;0;2;1;0;1
6;40;-3;5;1;0;0;-2;-1;0;3
6;41;-3;5;1;0;0;0;0;0;1
6;42;-3;5;2;0;0;0;0;0;1
6;43;-3;5;0;0;0;-2;0;0;2
6;44;-4;5;0;0;0;0;-1;0;0
6;45;-4;5;1;0;0;2;0;1;0
6;46;-4;5;0;0;0;-1;0;0;1
6;47;-4;5;-2;0;0;-2;-1;0;0
6;48;-4;6;-1;0;0;1;0;0;-2
6;49;-4;5;-2;0;0;-1;0;0;-1
6;50;-5;6;2;0;0;4;0;1;-2
7;1;2;0;4;0;0;;;;
7;2;2;0;5;0;0;1;0;0;4
7;3;2;0;5;0;0;0;0;1;5
7;4;2;0;4;0;0;0;0;0;5
7;5;3;0;7;0;0;3;1;0;4
7;6;3;1;11;0;0;4;0;1;7
7;7;3;1;11;0;0;0;0;0;11
7;8;3;1;9;0;0;-1;0;0;11
7;9;4;2;12;0;0;3;2;1;9
7;10;4;3;14;0;0;2;-1;1;12
7;11;4;2;13;0;0;-1;0;0;14
7;12;4;2;15;0;0;2;1;0;13
7;13;4;3;15;0;0;1;0;0;15
7;14;3;3;12;0;0;-3;-1;0;15
7;15;4;4;17;0;0;5;0;1;12
7;16;4;4;18;0;0;1;0;0;17
7;17;4;4;16;0;0;-2;0;0;18
7;18;4;4;17;0;0;1;0;0;16
7;19;4;4;17;0;0;0;0;0;17
7;20;4;4;18;0;0;2;0;0;17
7;21;3;4;18;0;0;0;-1;1;18
7;22;3;4;16;0;0;-2;0;-1;18
7;23;2;4;15;0;0;-1;-1;0;16
7;24;2;3;11;0;0;-4;0;-1;15
7;25;2;3;12;0;0;1;0;0;11
7;26;2;3;9;0;0;-3;-1;0;12
7;27;2;3;10;0;0;1;0;0;9
7;28;2;2;10;0;0;0;0;0;10
7;29;2;3;11;0;0;1;0;0;10
7;30;2;2;7;0;0;-4;0;0;11
7;31;2;1;8;0;0;1;1;-1;7
7;32;2;1;6;0;0;-2;-1;0;8
7;33;3;1;9;0;0;4;1;0;6
7;34;2;1;7;0;0;-2;0;0;9
7;35;2;1;9;0;0;1;0;0;7
7;36;1;1;5;0;0;-3;-1;0;9
7;37;1;1;2;0;0;-3;0;-1;5
7;38;2;0;6;0;0;4;1;0;2
7;39;1;1;3;0;0;-3;-1;0;6
7;40;0;0;1;0;0;-1;0;0;3
7;41;0;1;1;0;0;0;0;0;1
7;42;-1;1;1;0;0;0;-1;1;1
7;43;-1;0;-3;0;0;-4;0;-1;1
7;44;-1;0;-3;0;0;0;0;1;-3
7;45;-1;0;-3;0;0;0;0;-1;-3
7;46;-1;-1;-3;0;0;0;0;0;-3
7;47;-1;-2;-4;0;0;-1;0;-1;-3
7;48;-1;-2;-4;0;0;0;0;0;-4
7;49;-1;-2;-5;0;0;-1;0;0;-4
7;50;0;-3;-4;0;0;1;1;-1;-5
8;1;0;0;1;0;0;;;;
8;2;-1;1;2;0;0;1;0;1;1
8;3;-1;0;-1;0;0;-3;0;-1;2
8;4;-2;1;-2;0;0;-1;-1;1;-1
8;5;-1;0;-3;0;0;-1;1;-1;-2
8;6;-1;-1;-2;0;0;0;0;-1;-3
8;7;-2;0;-6;0;0;-3;-1;1;-2
8;8;-3;-1;-8;0;0;-3;-1;0;-6
8;9;-2;-1;-7;0;0;2;0;0;-8
8;10;-3;-1;-8;0;0;-1;0;0;-7
8;11;-3;-1;-8;0;0;0;0;0;-8
8;12;-3;-1;-9;0;0;-1;0;0;-8
8;13;-4;0;-9;0;0;0;0;1;-9
8;14;-4;0;-12;0;0;-2;0;0;-9
8;15;-3;-1;-10;0;0;2;1;-1;-12
8;16;-3;-1;-9;0;0;1;0;0;-10
8;17;-3;-2;-12;0;0;-3;0;-1;-9
8;18;-3;-2;-12;0;0;0;0;0;-12
8;19;-2;-3;-11;0;0;1;0;-1;-12
8;20;-3;-2;-11;0;0;0;0;0;-11
8;21;-3;-2;-11;0;0;0;0;0;-11
8;22;-3;-3;-12;0;0;-1;0;-1;-11
8;23;-3;-2;-11;0;0;1;0;1;-12
8;24;-3;-1;-11;0;0;0;0;1;-11
8;25;-3;-1;-8;0;0;3;0;0;-11
8;26;-3;0;-8;0;0;0;0;0;-8
8;27;-3;-2;-9;0;0;-1;1;-1;-8
8;28;-2;-3;-10;0;0;-1;0;-1;-9
8;29;-3;-3;-12;0;0;-2;0;-1;-10
8;30;-3;-4;-13;0;0;-1;0;0;-12
8;31;-2;-4;-14;0;0;-1;0;0;-13
8;32;-2;-3;-12;0;0;2;0;0;-14
8;33;-2;-4;-12;0;0;0;1;-1;-12
8;34;-2;-3;-10;0;0;2;0;1;-12
8;35;-2;-4;-11;0;0;-1;0;0;-10
8;36;-1;-4;-9;0;0;3;1;0;-11
8;37;0;-4;-8;0;0;1;1;0;-9
8;38;-1;-3;-6;0;0;2;-1;1;-8
8;39;0;-3;-7;0;0;-1;0;0;-6
8;40;0;-2;-4;0;0;3;1;1;-7
8;41;0;-3;-6;0;0;-2;0;0;-4
8;42;0;-2;-6;0;0;0;0;1;-6
8;43;0;-2;-7;0;0;-1;0;0;-6
8;44;0;-2;-6;0;0;0;0;0;-7
8;45;1;-3;-4;0;0;2;1;0;-6
8;46;1;-3;-2;0;0;2;0;0;-4
8;47;1;-2;0;0;0;2;0;1;-2
8;48;1;-2;-1;0;0;0;-1;0;0
8;49;1;-1;3;0;0;3;1;1;-1
8;50;2;0;5;0;0;2;0;0;3
9;1;0;-2;-4;0;0;;;;
9;2;1;-2;-1;0;0;3;0;1;-4
9;3;1;-2;-3;0;0;-1;0;0;-1
9;4;0;-2;-3;0;0;0;-1;0;-3
9;5;0;-1;-4;0;0;-2;-1;1;-3
9;6;-1;-1;-5;0;0;0;0;0;-4
9;7;-1;-1;-6;0;0;-1;-1;0;-5
9;8;-1;0;-6;0;0;0;0;0;-6
9;9;-1;-1;-7;0;0;-1;0;-1;-6
9;10;-1;-2;-6;0;0;1;0;-1;-7
9;11;-2;-1;-6;0;0;0;-1;0;-6
9;12;-1;0;-5;0;0;1;0;1;-6
9;13;-2;0;-4;0;0;0;0;1;-5
9;14;-1;0;-2;0;0;2;0;0;-4
9;15;-1;0;-3;0;0;-1;0;0;-2
9;16;-2;1;-4;0;0;-1;-1;1;-3
9;17;-2;0;-6;0;0;-2;-1;-1;-4
9;18;-3;0;-5;0;0;0;0;0;-6
9;19;-3;0;-8;0;0;-2;0;0;-5
9;20;-3;1;-7;0;0;0;0;0;-8
9;21;-2;0;-7;0;0;0;1;-1;-7
9;22;-3;0;-8;0;0;-1;-1;0;-7
9;23;-3;0;-7;0;0;1;0;0;-8
9;24;-3;0;-7;0;0;0;0;0;-7
9;25;-2;0;-7;0;0;1;0;0;-7
9;26;-3;0;-9;0;0;-2;-1;0;-7
9;27;-3;0;-9;0;0;0;0;0;-9
9;28;-4;1;-10;0;0;-1;0;1;-9
9;29;-3;1;-9;0;0;1;0;0;-10
9;30;-3;2;-6;0;0;3;0;1;-9
9;31;-3;2;-3;0;0;3;1;0;-6
9;32;-3;1;-6;0;0;-3;-1;-1;-3
9;33;-4;1;-6;0;0;-1;0;0;-6
9;34;-4;2;-6;0;0;0;0;0;-6
9;35;-3;1;-8;0;0;-2;1;-1;-6
9;36;-3;2;-5;0;0;3;0;1;-8
9;37;-3;2;-4;0;0;1;0;0;-5
9;38;-3;1;-6;0;0;-2;0;0;-4
9;39;-3;1;-6;0;0;0;0;-1;-6
9;40;-3;1;-6;0;0;0;0;0;-6
9;41;-3;1;-6;0;0;1;0;0;-6
9;42;-3;1;-6;0;0;-1;0;0;-6
9;43;-3;1;-5;0;0;2;0;0;-6
9;44;-4;2;-6;0;0;-2;-1;0;-5
9;45;-4;2;-5;0;0;1;0;0;-6
9;46;-4;1;-7;0;0;-1;1;-1;-5
9;47;-4;1;-9;0;0;-2;-1;0;-7
9;48;-5;0;-10;0;0;-1;0;-1;-9
9;49;-4;1;-9;0;0;1;0;0;-10
9;50;-5;1;-12;0;0;-3;0;0;-9
10;1;-3;-1;-9;-1;1;;;;
10;2;-2;0;-5;-1;1;3;1;1;-9
10;3;-1;-1;-5;-1;1;1;1;-1;-5
10;4;0;-1;-4;-1;1;1;1;0;-5
10;5;0;-1;-1;-1;1;3;1;0;-4
10;6;1;-1;0;-1;1;1;0;0;-1
10;7;1;-1;2;-1;1;1;1;0;0
10;8;2;-1;2;-1;1;1;1;1;2
10;9;2;-1;2;-1;1;-1;0;0;2
10;10;3;-1;5;-1;1;3;0;0;2
10;11;3;0;7;-1;1;2;0;1;5
10;12;3;0;7;-1;1;0;0;0;7
10;13;2;0;5;-1;1;-2;-1;0;7
10;14;3;0;5;-1;1;0;0;0;5
10;15;3;-1;6;-1;1;2;0;0;5
10;16;4;-2;6;-1;1;-1;1;-1;6
10;17;4;-2;3;-1;1;-3;0;0;6
10;18;4;-2;7;-1;1;4;1;0;3
10;19;5;-2;7;-1;1;1;1;-1;7
10;20;5;-2;7;-1;1;0;0;0;7
10;21;5;-2;8;-1;1;1;0;0;7
10;22;6;-2;11;-1;1;3;1;0;8
10;23;5;-2;11;-1;1;0;-1;0;11
10;24;6;-1;13;-1;1;2;0;1;11
10;25;6;-1;11;-1;1;-2;0;-1;13
10;26;6;0;13;-1;1;2;0;1;11
10;27;6;-1;13;-1;1;0;1;0;13
10;28;6;-1;14;-1;1;0;0;0;13
10;29;5;-1;8;-1;1;-6;-1;-1;14
10;30;5;-2;8;-1;1;0;0;0;8
10;31;5;-1;9;-1;1;1;0;0;8
10;32;5;-1;8;-1;1;-2;0;0;9
10;33;5;-1;8;-1;1;0;0;0;8
10;34;5;-1;9;-1;1;1;0;0;8
10;35;5;-1;10;-1;1;0;0;0;9
10;36;5;-1;11;-1;1;1;0;0;10
10;37;5;0;11;-1;1;1;0;0;11
10;38;5;-1;11;-1;1;0;0;0;11
10;39;6;-1;13;-1;1;1;1;0;11
10;40;7;-1;13;-1;1;0;1;-1;13
10;41;7;-1;14;-1;1;1;0;0;13
10;42;7;-1;14;-1;1;1;0;0;14
10;43;6;-1;13;-1;1;-1;0;0;14
10;44;7;-1;16;-1;1;3;1;0;13
10;45;7;-1;16;-1;1;0;0;-1;16
10;46;7;-1;18;-1;1;3;1;0;16
10;47;7;-1;16;-1;1;-2;0;0;18
10;48;7;-1;16;-1;1;-1;0;0;16
10;49;8;-1;16;-1;1;1;0;0;16
10;50;7;-1;15;-1;1;-1;0;0;16
11;1;0;-1;-2;0;0;;;;
11;2;0;-2;-3;0;0;0;0;0;-2
11;3;0;-1;-2;0;0;1;0;0;-3
11;4;0;-1;-3;0;0;-1;0;0;-2
11;5;-1;-1;-3;0;0;0;0;0;-3
11;6;0;-1;-1;0;0;2;1;0;-3
11;7;1;-1;-1;0;0;0;1;0;-1
11;8;1;-1;0;0;0;2;0;1;-1
11;9;1;0;1;0;0;1;0;1;0
11;10;1;0;1;0;0;0;0;0;1
11;11;0;0;1;0;0;0;-1;0;1
11;12;-1;0;-2;0;0;-3;0;0;1
11;13;-1;-1;-2;0;0;-1;0;-1;-2
11;14;0;-1;-2;0;0;0;1;0;-2
11;15;-1;-2;-5;0;0;-3;0;-1;-2
11;16;-1;-1;-4;0;0;1;0;0;-5
11;17;0;0;-1;0;0;2;1;1;-4
11;18;-1;-1;-3;0;0;-2;-1;-1;-1
11;19;-1;-1;-2;0;0;1;0;0;-3
11;20;0;0;-1;0;0;1;0;1;-2
11;21;-2;0;-4;0;0;-3;-1;0;-1
11;22;-1;0;-3;0;0;1;0;0;-4
11;23;-2;0;-5;0;0;-2;0;0;-3
11;24;-2;0;-6;0;0;-1;0;0;-5
11;25;-3;0;-7;0;0;-1;-1;0;-6
11;26;-3;1;-6;0;0;0;-1;1;-7
11;27;-3;1;-4;0;0;2;0;0;-6
11;28;-2;1;-2;0;0;2;1;0;-4
11;29;-2;2;-4;0;0;-2;-1;0;-2
11;30;-3;1;-6;0;0;-2;-1;0;-4
11;31;-3;1;-7;0;0;-1;0;0;-6
11;32;-2;1;-4;0;0;2;1;0;-7
11;33;-2;1;-3;0;0;1;0;0;-4
11;34;-3;1;-3;0;0;0;-1;0;-3
11;35;-2;2;-1;0;0;3;1;1;-3
11;36;-1;1;1;0;0;1;1;0;-1
11;37;-1;2;0;0;0;-1;0;0;1
11;38;-1;2;0;0;0;0;0;0;0
11;39;-1;1;-1;0;0;0;0;0;0
11;40;-1;2;0;0;0;1;0;1;-1
11;41;-1;1;-2;0;0;-2;0;-1;0
11;42;-2;2;-2;0;0;0;-1;1;-2
11;43;-2;2;-1;0;0;1;0;0;-2
11;44;-2;1;-3;0;0;-2;0;-1;-1
11;45;-1;1;-2;0;0;1;1;-1;-3
11;46;0;2;4;0;0;6;1;1;-2
11;47;1;2;6;0;0;2;1;0;4
11;48;1;2;7;0;0;1;0;0;6
11;49;2;1;8;0;0;0;0;-1;7
11;50;2;2;7;0;0;-1;0;1;8
12;1;0;-1;-2;0;0;;;;
12;2;0;-1;-1;0;0;2;0;0;-2
12;3;0;-1;-1;0;0;-1;0;0;-1
12;4;1;0;2;0;0;3;1;1;-1
12;5;2;0;4;0;0;2;0;0;2
12;6;1;-1;0;0;0;-4;0;-1;4
12;7;1;-1;2;0;0;1;0;0;0
12;8;2;-1;3;0;0;1;1;0;2
12;9;2;-1;4;0;0;1;0;0;3
12;10;2;-1;3;0;0;-1;0;1;4
12;11;2;-1;2;0;0;-1;0;-1;3
12;12;1;-2;-1;0;0;-3;0;-1;2
12;13;2;-1;2;0;0;3;0;1;-1
12;14;1;-1;1;0;0;-1;-1;1;2
12;15;1;-1;2;0;0;1;0;0;1
12;16;1;-1;1;0;0;-1;0;0;2
12;17;1;-2;1;0;0;0;0;0;1
12;18;1;-2;1;0;0;0;0;0;1
12;19;1;-2;0;0;0;-1;0;0;1
12;20;2;-2;1;0;0;1;1;0;0
12;21;2;-2;2;0;0;1;1;0;1
12;22;2;-2;1;0;0;-1;0;0;2
12;23;2;-2;1;0;0;-1;0;0;1
